100 150
1 2 134
2 3 83
3 4 45
4 5 33
5 6 1
6 7 107
7 8 92
8 9 61
9 10 80
10 11 9
11 12 118
12 13 30
13 14 104
14 15 144
15 16 28
16 17 142
17 18 50
18 19 145
19 20 10
20 21 133
21 22 109
22 23 62
23 24 75
24 25 147
25 26 90
26 27 84
27 28 114
28 29 112
29 30 35
30 31 19
31 32 43
32 33 117
33 34 88
34 35 115
35 36 59
36 37 125
37 38 149
38 39 79
39 40 48
40 41 23
41 42 132
42 43 13
43 44 76
44 45 105
45 46 86
46 47 138
47 48 113
48 49 99
49 50 27
50 51 15
51 52 136
52 53 34
53 54 97
54 55 24
55 56 102
56 57 49
57 58 17
58 59 37
59 60 122
60 61 29
61 62 3
62 63 57
63 64 89
64 65 126
65 66 26
66 67 31
67 68 20
68 69 16
69 70 143
70 71 47
71 72 98
72 73 77
73 74 25
74 75 32
75 76 11
76 77 52
77 78 96
78 79 4
79 80 146
80 81 2
81 82 39
82 83 55
83 84 42
84 85 139
85 86 121
86 87 116
87 88 82
88 89 73
89 90 106
90 91 67
91 92 95
92 93 65
93 94 12
94 95 54
95 96 8
96 97 21
97 98 140
98 99 110
99 100 40
23 39 127
24 77 36
96 23 72
22 14 101
28 43 148
23 99 131
91 93 71
58 46 69
97 76 53
41 51 130
94 13 81
71 5 111
36 93 46
56 68 135
33 5 74
72 85 58
8 38 56
64 9 78
24 98 38
66 71 91
32 43 129
8 55 22
6 36 18
36 57 51
76 86 108
67 27 66
15 71 119
95 79 6
60 48 120
2 16 141
43 73 60
93 97 5
11 41 93
61 52 150
68 18 63
72 43 41
43 59 44
91 87 100
82 55 70
67 53 68
21 94 87
55 6 128
27 62 124
61 20 7
93 89 64
91 11 14
52 83 85
63 77 123
69 65 94
7 4 137
23 31 103
