100 150
1 2 63
2 3 98
3 4 21
4 5 97
5 6 2
6 7 17
7 8 3
8 9 123
9 10 85
10 11 115
11 12 58
12 13 42
13 14 50
14 15 127
15 16 57
16 17 143
17 18 6
18 19 124
19 20 14
20 21 73
21 22 100
22 23 88
23 24 147
24 25 146
25 26 135
26 27 118
27 28 113
28 29 44
29 30 83
30 31 144
31 32 108
32 33 84
33 34 82
34 35 106
35 36 51
36 37 131
37 38 54
38 39 12
39 40 145
40 41 142
41 42 1
42 43 8
43 44 56
44 45 52
45 46 128
46 47 138
47 48 141
48 49 66
49 50 129
50 51 137
51 52 31
52 53 132
53 54 126
54 55 46
55 56 136
56 57 119
57 58 22
58 59 72
59 60 96
60 61 70
61 62 28
62 63 34
63 64 149
64 65 89
65 66 134
66 67 130
67 68 13
68 69 104
69 70 9
70 71 91
71 72 81
72 73 78
73 74 20
74 75 107
75 76 80
76 77 87
77 78 36
78 79 59
79 80 133
80 81 24
81 82 23
82 83 32
83 84 16
84 85 90
85 86 77
86 87 11
87 88 25
88 89 75
89 90 110
90 91 93
91 92 79
92 93 74
93 94 92
94 95 41
95 96 101
96 97 86
97 98 15
98 99 69
99 100 99
57 94 105
41 78 76
35 48 95
70 77 116
3 59 33
36 59 140
70 58 19
5 49 125
62 5 109
31 88 26
84 46 120
5 51 55
25 81 60
49 34 18
82 94 122
59 45 27
87 21 62
29 35 121
52 70 29
4 83 150
71 28 71
78 37 35
30 60 39
34 65 114
18 53 37
3 41 7
93 44 102
25 74 48
90 39 103
23 28 45
89 64 65
68 13 30
99 54 94
65 36 61
33 7 139
25 15 68
42 11 47
30 12 40
28 8 112
94 85 117
19 9 53
4 72 49
67 12 148
100 24 43
22 95 67
31 5 111
77 86 38
19 5 10
9 68 4
25 32 64
96 66 5
